Economy,LPI Score,Customs Score,Infrastructure Score,International Shipments Score,Logistics Competence and Quality Score,Timeliness Score,Tracking and Tracing Score,Infrastructure Rank,Customs Rank,Shipments Rank,Logistics Rank,Timeliness Rank,Tracking Rank,Overall Rank,Total Score
Nicaragua,2.5,2.0,1.9,2.8,2.8,2.9,2.4,133.5,130.5,79.5,78.0,96.5,110.5,107.0,2.466666666666667
Trinidad and Tobago,2.5,2.2,2.4,2.5,2.4,2.9,2.5,98.0,114.5,106.0,114.0,96.5,101.0,108.0,2.4833333333333334
Ghana,2.5,2.7,2.4,2.4,2.5,2.7,2.2,98.0,69.0,115.5,106.0,112.0,130.5,109.0,2.483333333333333
Zimbabwe,2.5,2.2,2.4,2.5,2.3,2.8,2.7,98.0,114.5,106.0,122.0,104.5,90.0,110.0,2.483333333333333
"Congo, Dem. Rep.",2.5,2.3,2.3,2.5,2.4,2.8,2.5,112.5,105.0,106.0,114.0,104.5,101.0,111.0,2.466666666666667
Algeria,2.5,2.3,2.1,3.0,2.2,2.6,2.5,127.0,105.0,62.0,129.0,119.5,101.0,112.0,2.45
Mongolia,2.5,2.5,2.3,2.5,2.3,2.7,2.4,112.5,86.5,106.0,122.0,112.0,110.5,113.0,2.45
Bhutan,2.5,2.7,2.2,2.3,2.6,2.6,2.3,121.0,69.0,124.0,97.0,119.5,122.5,114.0,2.4499999999999997
Liberia,2.4,2.1,2.4,2.8,2.4,2.3,2.4,98.0,124.0,79.5,114.0,134.5,110.5,115.0,2.4
Lao PDR,2.4,2.3,2.3,2.3,2.4,2.8,2.4,112.5,105.0,124.0,114.0,104.5,110.5,116.0,2.4166666666666665
Bolivia,2.4,2.1,2.4,2.5,2.4,2.4,2.5,98.0,124.0,106.0,114.0,130.5,101.0,117.0,2.3833333333333333
Gabon,2.4,2.0,2.2,2.6,2.0,3.0,2.5,121.0,130.5,96.0,136.0,89.5,101.0,118.0,2.3833333333333333
Cambodia,2.4,2.2,2.1,2.3,2.4,2.7,2.8,127.0,114.5,124.0,114.0,112.0,83.0,119.0,2.4166666666666665
Iraq,2.4,2.1,2.2,2.5,2.2,3.0,2.4,121.0,124.0,106.0,129.0,89.5,110.5,120.0,2.4
Guyana,2.4,2.3,2.4,2.1,2.6,2.6,2.2,98.0,105.0,133.0,97.0,119.5,130.5,121.0,2.3666666666666667
"Iran, Islamic Rep.",2.3,2.2,2.4,2.4,2.1,2.7,2.4,98.0,114.5,115.5,133.5,112.0,110.5,122.0,2.3666666666666667
Mauritania,2.3,2.1,2.0,2.2,2.5,2.8,2.5,130.5,124.0,129.5,106.0,104.5,101.0,123.0,2.35
"Gambia, The",2.3,1.8,2.3,2.6,2.3,2.6,2.4,112.5,135.5,96.0,122.0,119.5,110.5,124.0,2.3333333333333335
Sudan,2.4,2.1,2.3,2.4,2.4,2.7,2.3,112.5,124.0,115.5,114.0,112.0,122.5,125.0,2.366666666666667
Kyrgyz Republic,2.3,2.2,2.4,2.4,2.2,2.4,2.3,98.0,114.5,115.5,129.0,130.5,122.5,126.0,2.3166666666666664
"Venezuela, RB",2.3,2.1,2.4,2.0,2.5,2.5,2.3,98.0,124.0,135.5,106.0,126.0,122.5,127.0,2.3000000000000003
Madagascar,2.3,1.8,1.8,2.9,2.2,2.6,2.0,136.5,135.5,71.0,129.0,119.5,134.5,128.0,2.2166666666666663
Burkina Faso,2.3,2.0,2.3,2.4,2.4,2.4,2.2,112.5,130.5,115.5,114.0,130.5,130.5,129.0,2.283333333333333
"Yemen, Rep.",2.2,1.7,1.9,1.7,2.6,2.8,2.3,133.5,137.5,139.0,97.0,104.5,122.5,130.0,2.1666666666666665
Syrian Arab Republic,2.3,2.2,2.2,2.3,2.2,2.5,2.3,121.0,114.5,124.0,129.0,126.0,122.5,131.0,2.283333333333333
Fiji,2.3,2.3,2.2,2.3,2.3,2.3,2.2,121.0,105.0,124.0,122.0,134.5,130.5,131.0,2.266666666666666
Cuba,2.2,2.0,2.2,2.1,2.2,2.6,2.4,121.0,130.5,133.0,129.0,119.5,110.5,133.0,2.25
Angola,2.1,1.7,2.1,2.4,2.3,2.1,2.3,127.0,137.5,115.5,122.0,138.5,122.5,134.0,2.15
Haiti,2.1,2.1,1.8,2.3,2.0,2.5,2.1,136.5,124.0,124.0,136.0,126.0,133.0,135.0,2.1333333333333333
Cameroon,2.1,2.1,2.1,2.2,2.1,2.1,1.8,127.0,124.0,129.5,133.5,138.5,137.0,136.0,2.066666666666667
Somalia,2.0,1.5,1.9,2.4,1.8,2.3,1.8,133.5,139.0,115.5,139.0,134.5,137.0,137.0,1.95
Afghanistan,1.9,2.1,1.7,1.8,2.0,2.3,1.6,138.5,124.0,138.0,136.0,134.5,139.0,138.0,1.9166666666666663
Libya,1.9,1.9,1.7,2.0,1.9,2.2,1.8,138.5,133.5,135.5,138.0,137.0,137.0,139.0,1.9166666666666667
